"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"ACTA NEUROPSYCHIATRICA","1601-5215",3.8,"ACTA NEUROPSYCHIATR","1601-5215","NEUROSCIENCES - SCIE",1427," 111/272 ",3.5,"Q3",3.6,1,2
"ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","0001-6349",4.3,"ACTA OBSTET GYN SCAN","1600-0412","OBSTETRICS & GYNECOLOGY - SCIE",10713," 15/85 ",4.2,"Q1",4.1,0.6,1
"ACTA ODONTOLOGICA SCANDINAVICA","0001-6357",2,"ACTA ODONTOL SCAND","1502-3850","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",4369," 66/91 ",2.1,"Q4",1.9,0.2,1
"ACTA OECONOMICA","0001-6373",0.8,"ACTA OECON","1588-2659","ECONOMICS - SSCI",314," 334/380 ",0.8,"Q4",0.6,0.1,1
"ACTA ONCOLOGICA","0284-186X",3.1,"ACTA ONCOL","1651-226X","ONCOLOGY - SCIE",9685," 149/241 ",3.9,"Q2",3,0.6,1
"ACTA OPHTHALMOLOGICA","1755-375X",3.4,"ACTA OPHTHALMOL","1755-3768","OPHTHALMOLOGY - SCIE",12169," 16/62 ",3.6,"Q1",3.2,0.5,1
"ACTA OTO-LARYNGOLOGICA","0001-6489",1.4,"ACTA OTO-LARYNGOL","1651-2251","OTORHINOLARYNGOLOGY - SCIE",7633," 33/43 ",1.4,"Q4",1.4,0.2,2
"ACTA PAEDIATRICA","0803-5253",3.8,"ACTA PAEDIATR","1651-2227","PEDIATRICS - SCIE",15884," 17/130 ",3,"Q2",3.6,0.9,2
"ACTA PHARMACEUTICA","1330-0075",2.8,"ACTA PHARMACEUT","1846-9558","PHARMACOLOGY & PHARMACY - SCIE",1516," 171/278 ",2.4,"Q3",2.7,0.5,1
"ACTA PHARMACOLOGICA SINICA","1671-4083",8.2,"ACTA PHARMACOL SIN","1745-7254","PHARMACOLOGY & PHARMACY - SCIE",16110," 16/278 ",8.2,"Q1",8,1.9,1
"ACTA POLONIAE PHARMACEUTICA","0001-6837",0.4,"ACTA POL PHARM","2353-5288","PHARMACOLOGY & PHARMACY - SCIE",2011," 273/278 ",0.5,"Q4",0.4,0,1
"ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA","0001-6896",0.1,"ACTA PSIQUIAT PSICOL",NA,"PSYCHIATRY - ESCI",44," N/A ",0.1,NA,0.1,0,1
"ACTA PSYCHIATRICA SCANDINAVICA","0001-690X",6.7,"ACTA PSYCHIAT SCAND","1600-0447","PSYCHIATRY - SCIE",15455," 30/155 ",7.1,"Q1",6.5,1,2
"ACTA PSYCHOLOGICA","0001-6918",1.8,"ACTA PSYCHOL","1873-6297","PSYCHOLOGY, EXPERIMENTAL - SSCI",7070," 65/89 ",1.8,"Q4",1.7,0.6,1
"ACTA RADIOLOGICA","0284-1851",1.3,"ACTA RADIOL","1600-0455","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",5292," 121/135 ",1.5,"Q4",1.3,0.1,1
"ACTA SCIENTIARUM-HEALTH SCIENCES","1679-9291",0.2,"ACTA SCI-HEALTH SCI","1807-8648","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",113," N/A ",0.3,NA,0.2,0.1,1
"ACTA SCIENTIARUM-TECHNOLOGY","1806-2563",0.8,"ACTA SCI-TECHNOL","1807-8664","MULTIDISCIPLINARY SCIENCES - SCIE",582," 63/73 ",0.8,"Q4",0.7,0.2,1
"ACTA SOCIOLOGICA","0001-6993",1.7,"ACTA SOCIOL","1502-3869","SOCIOLOGY - SSCI",1411," 93/149 ",2,"Q3",1.7,0.2,1
"ACTA TROPICA","0001-706X",2.7,"ACTA TROP","1873-6254","TROPICAL MEDICINE - SCIE",11501," 11/24 ",2.7,"Q2",2.4,0.7,1
"ACTA VIROLOGICA","0001-723X",1.7,"ACTA VIROL","1336-2305","VIROLOGY - SCIE",1003," 30/36 ",1.4,"Q4",1.5,0.1,1
"ACTAS ESPANOLAS DE PSIQUIATRIA","1139-9287",1.5,"ACTAS ESP PSIQUIATRI","1578-2735","NEUROSCIENCES - SCIE",743," 250/272 ",2,"Q4",1.4,0.3,2
"ACTES DE LA RECHERCHE EN SCIENCES SOCIALES","0335-5322",0.3,"ACTES RECH SCI SOC","1955-2564","SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",758," 104/110 ",0.5,"Q4",0.2,0.1,1
"ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH","0360-1293",0.3,"ACUPUNCTURE ELECTRO","2167-9010","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE",195," 28/28 ",0.4,"Q4",0.1,0,2
"AD ALTA-Journal of Interdisciplinary Research","1804-7890",0.7,"AD ALTA-INTERDISCIP","1804-7890","MULTIDISCIPLINARY SCIENCES - ESCI",784," N/A ",0.4,NA,0.2,0.5,1
"ADAPTED PHYSICAL ACTIVITY QUARTERLY","0736-5829",1.9,"ADAPT PHYS ACT Q","1543-2777","REHABILITATION - SCIE",1376," 37/68 ",2.5,"Q2",1.7,0.6,2
"ADAPTIVE BEHAVIOR","1059-7123",1.6,"ADAPT BEHAV","1741-2633","PSYCHOLOGY, EXPERIMENTAL - SSCI",855," 75/89 ",1.5,"Q4",1.3,0.5,2
"ADDICTION","0965-2140",6.1,"ADDICTION","1360-0443","PSYCHIATRY - SCIE",21570," 35/155 ",6.4,"Q1",5.7,1.3,4
"ADDICTION BIOLOGY","1355-6215",3.4,"ADDICT BIOL","1369-1600","SUBSTANCE ABUSE - SCIE",5027," 12/21 ",3.3,"Q3",3.3,0.8,1
"ADDICTION RESEARCH & THEORY","1606-6359",2.9,"ADDICT RES THEORY","1476-7392","SOCIAL ISSUES - SSCI",2105," 15/44 ",2.9,"Q2",2.7,0.5,2
"ADDICTIVE BEHAVIORS","0306-4603",4.4,"ADDICT BEHAV","1873-6327","PSYCHOLOGY, CLINICAL - SSCI",17706," 27/131 ",4.3,"Q2",4.2,1,3
"ADMET and DMPK","1848-7718",2.5,"ADMET DMPK","1848-7718","PHARMACOLOGY & PHARMACY - ESCI",336," N/A ",2,NA,2.5,1.3,1
"ADMINISTRATION & SOCIETY","0095-3997",2.3,"ADMIN SOC","1552-3039","PUBLIC ADMINISTRATION - SSCI",2507," 32/49 ",2.6,"Q3",2.2,0.6,1
"ADULT EDUCATION QUARTERLY","0741-7136",1.3,"ADULT EDUC QUART","1552-3047","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1052," 221/269 ",1.7,"Q4",1.2,0.1,1
"ADVANCED DRUG DELIVERY REVIEWS","0169-409X",16.1,"ADV DRUG DELIVER REV","1872-8294","PHARMACOLOGY & PHARMACY - SCIE",46224," 4/278 ",17.7,"Q1",15.3,3.6,1
"ADVANCES IN ANATOMIC PATHOLOGY","1072-4109",6.7,"ADV ANAT PATHOL","1533-4031","PATHOLOGY - SCIE",2246," 7/76 ",6,"Q1",6.5,0.9,2
"ADVANCES IN CHRONIC KIDNEY DISEASE","1548-5595",2.9,"ADV CHRONIC KIDNEY D","1548-5609","UROLOGY & NEPHROLOGY - SCIE",2989," 38/88 ",4.7,"Q1",2.8,0.1,1
"ADVANCES IN COMPLEX SYSTEMS","0219-5259",0.4,"ADV COMPLEX SYST","1793-6802","MULTIDISCIPLINARY SCIENCES - SCIE",659," 70/73 ",1.1,"Q3",0.4,0,1
"ADVANCES IN HEALTH SCIENCES EDUCATION","1382-4996",4,"ADV HEALTH SCI EDUC","1573-1677","EDUCATION & EDUCATIONAL RESEARCH - SSCI",3945," 46/269 ",3.9,"Q1",3.5,0.5,3
"ADVANCES IN NURSING SCIENCE","0161-9268",1.6,"ADV NURS SCI","1550-5014","NURSING - SCIE",1842," 87/125 ",2.4,"Q2",1.5,0.6,2
"ADVANCES IN PHYSIOLOGY EDUCATION","1043-4046",2.1,"ADV PHYSIOL EDUC","1522-1229","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",2798," 28/43 ",2.4,"Q3",1.7,0.4,1
"ADVANCES IN THERAPY","0741-238X",3.8,"ADV THER","1865-8652","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",8042," 73/136 ",4.2,"Q2",3.7,0.7,2
"AEM Education and Training",NA,1.8,"AEM EDUC TRAIN","2472-5390","EDUCATION, SCIENTIFIC DISCIPLINES - ESCI",841," N/A ",2.1,NA,1.4,0.2,2
"AERA Open",NA,2.8,"AERA OPEN","2332-8584","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1674," 104/269 ",3.4,"Q2",2.6,0.8,1
"AESTHETIC PLASTIC SURGERY","0364-216X",2.4,"AESTHET PLAST SURG","1432-5241","SURGERY - SCIE",6289," 88/213 ",2.4,"Q3",1.8,0.7,1
"AFRICA","0001-9720",1.2,"AFRICA","1750-0184","ANTHROPOLOGY - SSCI",1410," 43/92 ",1.3,"Q3",1.1,0.2,2
"AFRICAN AFFAIRS","0001-9909",2.8,"AFR AFFAIRS","1468-2621","AREA STUDIES - SSCI",2035," 6/84 ",3.3,"Q1",2.3,0.4,3
"AFRICAN STUDIES","0002-0184",0.9,"AFR STUD-UK","1469-2872","AREA STUDIES - SSCI",482," 46/84 ",0.9,"Q3",0.9,0.3,1
"AGE AND AGEING","0002-0729",6.7,"AGE AGEING","1468-2834","GERIATRICS & GERONTOLOGY - SCIE",18683," 10/54 ",9,"Q1",6.3,1.2,1
"AGEING & SOCIETY","0144-686X",2.5,"AGEING SOC","1469-1779","GERONTOLOGY - SSCI",5607," 21/37 ",2.8,"Q3",2.3,1,1
"AGEING RESEARCH REVIEWS","1568-1637",13.1,"AGEING RES REV","1872-9649","GERIATRICS & GERONTOLOGY - SCIE",15607," 1/54 ",14.5,"Q1",12.8,2.2,1
"AGGRESSION AND VIOLENT BEHAVIOR","1359-1789",4.6,"AGGRESS VIOLENT BEH","1873-6335","CRIMINOLOGY & PENOLOGY - SSCI",6576," 6/70 ",5.4,"Q1",4.4,1.4,2
"AGGRESSIVE BEHAVIOR","0096-140X",2.9,"AGGRESSIVE BEHAV","1098-2337","BEHAVIORAL SCIENCES - SCIE",4135," 17/52 ",3.4,"Q2",2.8,0.6,2
"AGING & MENTAL HEALTH","1360-7863",3.4,"AGING MENT HEALTH","1364-6915","GERIATRICS & GERONTOLOGY - SCIE",10430," 31/54 ",3.8,"Q3",3.3,0.4,4
"AGING CELL","1474-9718",7.8,"AGING CELL","1474-9726","GERIATRICS & GERONTOLOGY - SCIE",16286," 4/54 ",9.2,"Q1",7.6,1.5,1
"AGING CLINICAL AND EXPERIMENTAL RESEARCH","1594-0667",4,"AGING CLIN EXP RES","1720-8319","GERIATRICS & GERONTOLOGY - SCIE",8308," 24/54 ",4,"Q3",3.8,0.8,1
"AGING NEUROPSYCHOLOGY AND COGNITION","1382-5585",1.9,"AGING NEUROPSYCHOL C","1744-4128","PSYCHOLOGY, DEVELOPMENTAL - SSCI",1798," 61/77 ",1.8,"Q4",1.8,0.4,2
"AGRICULTURAL ECONOMICS","0169-5150",4.1,"AGR ECON-BLACKWELL","1574-0862","ECONOMICS - SSCI",5467," 81/380 ",3.9,"Q2",3.9,0.9,1
"AGRICULTURAL HISTORY","0002-1482",0.6,"AGR HIST","1533-8290","HISTORY & PHILOSOPHY OF SCIENCE - AHCI",500," N/A ",0.6,NA,0.5,0,3
"AGRICULTURE AND HUMAN VALUES","0889-048X",4.5,"AGR HUM VALUES","1572-8366","HISTORY & PHILOSOPHY OF SCIENCE - SCIE",4326," 1/62 ",4.5,"Q1",3.9,0.5,3
"AIB Studi","2280-9112",0.3,"AIB STUD","2239-6144","INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI",47," N/A ",0.2,NA,0.1,0.1,1
"AIBR-Revista de Antropologia Iberoamericana","1695-9752",0.3,"AIBR-REV ANTROPOL IB","1578-9705","ANTHROPOLOGY - SSCI",188," 87/92 ",0.4,"Q4",0.3,0,1
"AIDS","0269-9370",3.8,"AIDS","1473-5571","IMMUNOLOGY - SCIE",16700," 94/161 ",4,"Q3",3.6,1.3,3
"AIDS AND BEHAVIOR","1090-7165",4.4,"AIDS BEHAV","1573-3254","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",14277," 46/180 ",4.1,"Q2",3.8,0.5,2
"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV","0954-0121",1.7,"AIDS CARE","1360-0451","HEALTH POLICY & SERVICES - SSCI",7072," 73/87 ",2.1,"Q4",1.7,0.2,4
"AIDS EDUCATION AND PREVENTION","0899-9546",1.8,"AIDS EDUC PREV","1943-2755","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1602," 185/269 ",2.3,"Q3",1.7,0.2,2
"AIDS PATIENT CARE AND STDS","1087-2914",4.9,"AIDS PATIENT CARE ST","1557-7449","INFECTIOUS DISEASES - SCIE",3566," 33/96 ",4.4,"Q2",3.8,0.6,2
"AIDS RESEARCH AND HUMAN RETROVIRUSES","0889-2229",1.5,"AIDS RES HUM RETROV","1931-8405","IMMUNOLOGY - SCIE",3895," 149/161 ",1.6,"Q4",1.4,0.2,3
"AIDS REVIEWS","1139-6121",2.2,"AIDS REV","1698-6997","IMMUNOLOGY - SCIE",638," 137/161 ",2.1,"Q4",2.1,1.2,2
"AIDS Research and Therapy","1742-6405",2.2,"AIDS RES THER","1742-6405","INFECTIOUS DISEASES - SCIE",1346," 76/96 ",2.6,"Q3",2.1,0.5,1
"AIDS Research and Treatment","2090-1240",1.7,"AIDS RES TREAT","2090-1259","INFECTIOUS DISEASES - ESCI",522," N/A ",2.3,NA,1.7,0.2,1
"AILA Review","1461-0213",0.4,"AILA REV","1570-5595","LINGUISTICS - ESCI",250," N/A ",0.7,NA,0.4,0,1
"AIMS Allergy and Immunology","2575-615X",0.7,"AIMS ALLERGY IMMUNOL","2575-615X","IMMUNOLOGY - ESCI",49," N/A ",0.7,NA,0.7,0.4,1
"AIMS Bioengineering","2375-1495",2.3,"AIMS BIOENG","2375-1495","ENGINEERING, BIOMEDICAL - ESCI",315," N/A ",2.2,NA,2.3,0.3,1
"AIMS Medical Science","2375-1576",0.7,"AIMS MED SCI","2375-1576","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI",124," N/A ",0.7,NA,0.6,0.2,1
"AIMS Neuroscience","2373-8006",2.7,"AIMS NEUROSCI","2373-7972","NEUROSCIENCES - ESCI",357," N/A ",2.5,NA,2.7,0.3,1
"AIMS Public Health","2327-8994",3.3,"AIMS PUBLIC HEALTH","2327-8994","HEALTH CARE SCIENCES & SERVICES - ESCI",818," N/A ",2.6,NA,3.3,0.8,1
"AJAR-African Journal of AIDS Research","1608-5906",1.2,"AJAR-AFR J AIDS RES","1727-9445","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",619," 186/207 ",1.4,"Q4",1.1,0.1,2
"AJIDD-American Journal on Intellectual and Developmental Disabilities","1944-7515",2.1,"AJIDD-AM J INTELLECT","1944-7558","EDUCATION, SPECIAL - SSCI",1371," 14/43 ",2.7,"Q1",2,0.3,2
"AJIL Unbound",NA,1.2,"AJIL UNBOUND","2398-7723","INTERNATIONAL RELATIONS - ESCI",431," N/A ",NA,NA,1.2,1.6,2
"AJP Reports","2157-6998",0.9,"AJP REP","2157-7005","PEDIATRICS - ESCI",448," N/A ",1.1,NA,0.9,0.1,2
"AJSP-Reviews and Reports","2381-5949",0.2,"AJSP-REV REP","2381-652X","PATHOLOGY - ESCI",88," N/A ",0.2,NA,0.2,NA,2
"AKADEMIKA","0126-5008",0.6,"AKAD","0126-8694","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",256," N/A ",0.6,NA,0.2,0.1,1
"AKTUELLE DERMATOLOGIE","0340-2541",0.1,"AKTUEL DERMATOL","1438-938X","DERMATOLOGY - ESCI",93," N/A ",0.1,NA,0.1,0.1,1
"AKTUELLE ERNAHRUNGSMEDIZIN","0341-0501",0.3,"AKTUEL ERNAHRUNGSMED","1438-9916","NUTRITION & DIETETICS - ESCI",142," N/A ",0.4,NA,0.2,0.1,1
"AKTUELLE RHEUMATOLOGIE","0341-051X",0.2,"AKTUEL RHEUMATOL","1438-9940","RHEUMATOLOGY - SCIE",70," 34/34 ",0.2,"Q4",0.2,0,1
"AKTUELLE UROLOGIE","0001-7868",0.3,"AKTUEL UROL","1438-8820","UROLOGY & NEPHROLOGY - SCIE",160," 87/88 ",0.4,"Q4",0.2,0.1,1
"ALBERTA JOURNAL OF EDUCATIONAL RESEARCH","0002-4805",0.1,"ALTA J EDUC RES","1923-1857","EDUCATION & EDUCATIONAL RESEARCH - ESCI",367," N/A ",NA,NA,0.1,NA,1
"ALBERTA LAW REVIEW","0002-4821",0.5,"ALTA LAW REV","1925-8356","LAW - ESCI",194," N/A ",0.4,NA,0.4,0.1,1
"ALCOHOL","0741-8329",2.3,"ALCOHOL","1873-6823","PHARMACOLOGY & PHARMACY - SCIE",3220," 200/278 ",2.3,"Q3",2.2,1,3
"ALCOHOL AND ALCOHOLISM","0735-0414",2.8,"ALCOHOL ALCOHOLISM","1464-3502","SUBSTANCE ABUSE - SCIE",4755," 16/21 ",2.8,"Q4",2.7,0.4,2
"ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH","0145-6008",3.2,"ALCOHOL CLIN EXP RES","1530-0277","SUBSTANCE ABUSE - SCIE",14575," 14/21 ",3.6,"Q2",2.9,0.5,1
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","0269-2813",7.6,"ALIMENT PHARM THER","1365-2036","GASTROENTEROLOGY & HEPATOLOGY - SCIE",24719," 17/93 ",7.6,"Q1",7,2.6,2
"ALLERGOLOGIA ET IMMUNOPATHOLOGIA","0301-0546",1.8,"ALLERGOL IMMUNOPATH","1578-1267","ALLERGY - SCIE",1976," 23/28 ",1.9,"Q4",1.8,0.4,2
"ALLERGOLOGIE","0344-5062",0.5,"ALLERGOLOGIE","0344-5062","ALLERGY - SCIE",174," 27/28 ",0.3,"Q4",0.5,0.5,1
